City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,banikoara,11.2985,2.4386,77.41,77,69,4.47,BJ,1626731686
1,georgetown,5.4112,100.3354,80.89,88,20,1.99,MY,1626731507
2,constitucion,-35.3333,-72.4167,54.55,67,18,10.8,CL,1626731687
3,albany,42.6001,-73.9662,81.25,78,93,0.29,US,1626731687
4,zabid,14.1951,43.3152,87.85,57,100,12.77,YE,1626731688
5,tuktoyaktuk,69.4541,-133.0374,68.0,64,75,9.22,CA,1626731688
6,mar del plata,-38.0023,-57.5575,53.13,64,0,7.0,AR,1626731440
7,nanortalik,60.1432,-45.2371,43.32,96,100,11.54,GL,1626731689
8,ushuaia,-54.8,-68.3,40.66,70,20,9.22,AR,1626731406
9,pau dos ferros,-6.1125,-38.2063,82.72,36,13,5.39,BR,1626731689
10,pointe michel,15.25,-61.3833,86.94,66,20,3.44,DM,1626731690
11,punta arenas,-53.15,-70.9167,41.11,81,75,11.5,CL,1626731690
12,aripuana,-9.1667,-60.6333,79.9,48,0,1.79,BR,1626731690
13,kavieng,-2.5744,150.7967,81.86,77,100,10.09,PG,1626731691
14,port hardy,50.6996,-127.4199,66.38,59,40,5.75,CA,1626731691
15,port-gentil,-0.7193,8.7815,75.16,83,40,9.22,GA,1626731692
16,tiksi,71.6872,128.8694,54.55,91,100,9.04,RU,1626731692
17,mus,39.0,41.75,71.78,29,0,2.06,TR,1626731693
18,mataura,-46.1927,168.8643,36.48,85,59,2.98,NZ,1626731693
19,hermanus,-34.4187,19.2345,50.9,80,100,1.9,ZA,1626731693
20,severo-kurilsk,50.6789,156.125,50.7,96,96,8.14,RU,1626731694
21,busselton,-33.65,115.3333,53.1,82,94,14.07,AU,1626731413
22,krasnyy chikoy,50.3643,108.7512,55.99,98,80,1.5,RU,1626731694
23,sorland,67.667,12.6934,48.67,70,100,22.46,NO,1626731695
24,hiriyur,13.9456,76.6192,71.13,84,75,15.17,IN,1626731695
25,cap malheureux,-19.9842,57.6142,72.09,67,18,5.01,MU,1626731695
26,salinas,36.6777,-121.6555,97.41,45,5,9.22,US,1626731696
27,serik,36.9169,31.0989,82.67,60,0,4.12,TR,1626731696
28,qaanaaq,77.484,-69.3632,38.46,85,93,1.86,GL,1626731697
29,vilcun,-38.65,-72.2333,52.54,88,99,2.1,CL,1626731697
30,magadan,59.5667,150.8,58.42,64,70,0.63,RU,1626731697
